person_id,best_name,dob,doc_count,resolution_confidence,review_status,exposed_ssn,exposed_dob,exposed_dl_number,exposed_passport_number,exposed_financial_account,exposed_card_number,exposed_medical,exposed_login_credentials,exposed_home_address,exposed_phone,exposed_email,evidence_ssn,evidence_dob,evidence_dl_number,evidence_passport_number,evidence_financial_account,evidence_card_number,evidence_medical,evidence_login_credentials,evidence_home_address,evidence_phone,evidence_email
RES_0001,Danielle Johnson,,2,0.6,needs_review,1,0,0,0,0,0,0,1,1,1,0,DOC_0002,,,,,,,DOC_0002;DOC_0003,DOC_0002;DOC_0003,DOC_0003,
RES_0002,Jason Hahn,1950-12-01,5,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0285;DOC_0365,DOC_0365;DOC_0377;DOC_0401,,,,DOC_0365;DOC_0377,,DOC_0004;DOC_0285,DOC_0285;DOC_0365,DOC_0004;DOC_0365;DOC_0377;DOC_0401,DOC_0365;DOC_0377;DOC_0401
RES_0003,"Rodney Lewis
We",1977-04-08,4,0.9,auto_accepted,1,1,1,0,0,1,1,0,1,1,1,DOC_0006;DOC_0365;DOC_0372;DOC_0374,DOC_0365;DOC_0372;DOC_0374,DOC_0006,,,DOC_0365;DOC_0372;DOC_0374,DOC_0372;DOC_0374,,DOC_0365,DOC_0365,DOC_0365
RES_0004,"Elizabeth Spencer
We",2003-12-16,3,0.9,auto_accepted,1,1,1,0,0,1,0,0,1,1,1,DOC_0008;DOC_0365,DOC_0365;DOC_0450,DOC_0008,,,DOC_0365,,,DOC_0365,DOC_0365;DOC_0450,DOC_0365;DOC_0450
RES_0005,Samantha Hooper,1976-12-01,6,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0355;DOC_0367;DOC_0374;DOC_0375,DOC_0015;DOC_0355;DOC_0367;DOC_0374;DOC_0375,,,,DOC_0367;DOC_0374;DOC_0375,DOC_0355;DOC_0374;DOC_0375,DOC_0014,DOC_0367,DOC_0014;DOC_0015;DOC_0355;DOC_0367,DOC_0015;DOC_0367
RES_0006,Ryan Gross,2006-04-01,4,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0376;DOC_0437,DOC_0365;DOC_0376;DOC_0437,,,,DOC_0365;DOC_0376,DOC_0376,DOC_0017,DOC_0017;DOC_0365,DOC_0017;DOC_0365,DOC_0365;DOC_0437
RES_0007,Angela Terry,1949-03-08,2,0.9,auto_accepted,1,1,0,0,0,1,0,0,1,1,1,DOC_0365,DOC_0018;DOC_0365,,,,DOC_0365,,,DOC_0018;DOC_0365,DOC_0018;DOC_0365,DOC_0018;DOC_0365
RES_0008,Sarah R.,1996-05-23,1,0.9,auto_accepted,0,1,0,0,0,0,0,0,1,1,1,,DOC_0021,,,,,,,DOC_0021,DOC_0021,DOC_0021
RES_0009,Sarah Romero,1996-05-23,2,0.9,auto_accepted,1,1,0,0,0,1,0,1,1,1,1,DOC_0023;DOC_0365,DOC_0365,,,,DOC_0365,,DOC_0023,DOC_0023;DOC_0365,DOC_0365,DOC_0365
RES_0010,Jesse Little,,2,0.6,needs_review,1,0,0,0,0,0,0,1,1,1,0,DOC_0024,,,,,,,DOC_0024;DOC_0025,DOC_0024;DOC_0025,DOC_0025,
RES_0011,"Emily Chambers
We",1980-05-06,4,0.9,auto_accepted,1,1,1,0,0,1,0,1,1,1,1,DOC_0026;DOC_0027;DOC_0365,DOC_0365;DOC_0387,DOC_0027,,,DOC_0365;DOC_0387,,DOC_0026,DOC_0026;DOC_0027;DOC_0365,DOC_0365;DOC_0387,DOC_0365;DOC_0387
RES_0012,Brian Harmon,1976-05-15,3,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0311;DOC_0368,DOC_0311;DOC_0368,,,,DOC_0368,DOC_0311,DOC_0029,DOC_0368,DOC_0029;DOC_0311;DOC_0368,DOC_0368
RES_0013,Caroline Bell,1979-11-23,6,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0340;DOC_0368;DOC_0374;DOC_0376;DOC_0438,DOC_0031;DOC_0340;DOC_0368;DOC_0374;DOC_0376;DOC_0438,,,,DOC_0368;DOC_0374;DOC_0376,DOC_0340;DOC_0374;DOC_0376,,DOC_0368,DOC_0031;DOC_0340;DOC_0368,DOC_0031;DOC_0368;DOC_0438
RES_0014,Tyler Jordan,,1,0.9,auto_accepted,1,0,0,0,0,0,0,1,1,0,0,DOC_0032,,,,,,,DOC_0032,DOC_0032,,
RES_0015,Steven Spencer,1994-06-10,4,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0368;DOC_0372,DOC_0365;DOC_0368;DOC_0372,,,,DOC_0365;DOC_0368;DOC_0372,DOC_0372,DOC_0034,DOC_0365;DOC_0368,DOC_0034;DOC_0365;DOC_0368,DOC_0365;DOC_0368
RES_0016,Robert Rhodes,1956-09-30,2,0.9,auto_accepted,1,1,0,0,0,1,0,1,1,1,1,DOC_0036;DOC_0365,DOC_0365,,,,DOC_0365,,DOC_0036,DOC_0365,DOC_0365,DOC_0365
RES_0017,"Garrett Wallace
Date",1971-01-01,2,0.9,auto_accepted,1,1,1,0,0,0,1,0,1,1,0,DOC_0040;DOC_0354,DOC_0354,DOC_0040,,,,DOC_0354,,DOC_0040;DOC_0354,DOC_0354,
RES_0018,Teresa Day,1971-03-13,2,0.6,needs_review,0,1,0,0,0,1,0,1,1,1,1,,DOC_0419,,,,DOC_0419,,DOC_0041,DOC_0041,DOC_0041;DOC_0419,DOC_0419
RES_0019,Lisa Peck,1989-08-19,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0370,DOC_0370;DOC_0417,,,,DOC_0370;DOC_0417,,DOC_0044,DOC_0370,DOC_0044;DOC_0370;DOC_0417,DOC_0370;DOC_0417
RES_0020,Brandy Robles,1989-12-01,4,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0373;DOC_0422,DOC_0365;DOC_0373;DOC_0422,,,,DOC_0365;DOC_0373,DOC_0373,DOC_0046,DOC_0365,DOC_0046;DOC_0365,DOC_0365;DOC_0422
RES_0021,Anna Nelson,1948-01-09,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0365;DOC_0444,DOC_0365;DOC_0444,,,,DOC_0365,,DOC_0047,DOC_0365,DOC_0047;DOC_0365;DOC_0444,DOC_0365;DOC_0444
RES_0022,Thomas Atkinson,1961-01-17,3,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0374;DOC_0375,DOC_0053;DOC_0374;DOC_0375,,,,DOC_0374;DOC_0375,DOC_0374;DOC_0375,,DOC_0053,DOC_0053,DOC_0053
RES_0023,Jessica Bell,1950-02-11,4,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0366;DOC_0373,DOC_0365;DOC_0366;DOC_0373,,,,DOC_0365;DOC_0366;DOC_0373,DOC_0373,DOC_0056,DOC_0056;DOC_0365;DOC_0366,DOC_0056;DOC_0365;DOC_0366,DOC_0365;DOC_0366
RES_0024,Brenda Goodwin,,1,0.9,auto_accepted,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,DOC_0057,DOC_0057,DOC_0057,
RES_0025,Joshua Sheppard,1993-10-26,1,0.9,auto_accepted,0,1,0,0,0,0,0,0,1,1,1,,DOC_0060,,,,,,,DOC_0060,DOC_0060,DOC_0060
RES_0026,Michael Ellis,1952-04-30,3,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0341;DOC_0369,DOC_0341;DOC_0369,,,,DOC_0369,DOC_0341,DOC_0063,DOC_0369,DOC_0063;DOC_0341;DOC_0369,DOC_0369
RES_0027,"Scott Mcknight
We",1993-05-04,2,0.9,auto_accepted,1,1,1,0,0,0,1,0,1,1,0,DOC_0065;DOC_0346,DOC_0346,DOC_0065,,,,DOC_0346,,DOC_0065;DOC_0346,DOC_0346,
RES_0028,Erik Cantu,1959-03-25,3,0.9,auto_accepted,1,1,0,0,0,1,0,1,1,1,1,DOC_0066;DOC_0365,DOC_0365;DOC_0460,,,,DOC_0365,,DOC_0066,DOC_0365;DOC_0460,DOC_0365;DOC_0460,DOC_0365;DOC_0460
RES_0029,"John Little
We",1945-06-04,4,0.9,auto_accepted,1,1,1,0,0,1,0,0,1,1,1,DOC_0068;DOC_0365;DOC_0369,DOC_0365;DOC_0369;DOC_0451,DOC_0068,,,DOC_0365;DOC_0369;DOC_0451,,,DOC_0365;DOC_0369,DOC_0365;DOC_0369;DOC_0451,DOC_0365;DOC_0369;DOC_0451
RES_0030,Corutney Crawford,1975-05-01,5,0.9,auto_accepted,1,1,0,0,0,1,1,1,0,1,1,DOC_0308;DOC_0375;DOC_0376,DOC_0308;DOC_0375;DOC_0376,,,,DOC_0375;DOC_0376,DOC_0308;DOC_0375;DOC_0376,DOC_0069,,DOC_0069;DOC_0308;DOC_0446,DOC_0446
RES_0031,Susan Kaufman,1950-04-12,4,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0365;DOC_0370;DOC_0375,DOC_0073;DOC_0365;DOC_0370;DOC_0375,,,,DOC_0365;DOC_0370;DOC_0375,DOC_0375,,DOC_0073;DOC_0365;DOC_0370,DOC_0073;DOC_0365;DOC_0370,DOC_0073;DOC_0365;DOC_0370
RES_0032,Wendy Gonzalez,,1,0.9,auto_accepted,1,0,0,0,0,0,0,1,1,0,0,DOC_0074,,,,,,,DOC_0074,DOC_0074,,
